# PLANTILLA DE IMPORTACIÓN - POS ANDROID
# ==========================================
# Este archivo contiene plantillas para importar PRODUCTOS y CLIENTES
# 
# INSTRUCCIONES:
# 1. Elimine las líneas que empiezan con # (son comentarios)
# 2. NO modifique los encabezados (primera línea de cada sección)
# 3. Complete los datos en las filas siguientes
# 4. Guarde el archivo y selecciónelo desde la app
#
# NOTAS IMPORTANTES:
# - Use punto (.) para decimales, NO coma
# - No use caracteres especiales en códigos
# - Los campos vacíos se llenarán con valores por defecto
# ==========================================

# ==========================================
# SECCIÓN 1: PRODUCTOS
# ==========================================
# Columnas:
# - CodArticulo: Código único del producto (obligatorio)
# - CodBarras: Código de barras (opcional)
# - Nombre: Nombre del producto (obligatorio)
# - Descripcion: Descripción detallada (opcional)
# - Precio: Precio en USD (obligatorio, use punto para decimales)
# - Stock: Cantidad en inventario (obligatorio)
# - TipoImpuesto: Tipo de IVA (obligatorio)
#   * E = Exento (productos sin IVA: alimentos básicos, medicamentos)
#   * G = General (productos con IVA 16%: mayoría de productos)
#
# EJEMPLOS DE PRODUCTOS EXENTOS (E):
# PROD001,7501001,ARROZ BLANCO 1KG,ARROZ BLANCO GRANO LARGO,1.50,200,E
# PROD002,7501002,HARINA DE MAIZ 1KG,HARINA PRECOCIDA DE MAIZ,1.20,150,E
#
# EJEMPLOS DE PRODUCTOS GRAVADOS (G):
# PROD010,7501010,LAPTOP HP 15,LAPTOP HP 15 PULGADAS 8GB RAM,450.00,10,G
# PROD011,7501011,MOUSE LOGITECH,MOUSE INALAMBRICO LOGITECH,15.00,50,G
# ==========================================

TIPO,CodArticulo,CodBarras,Nombre,Descripcion,Precio,Stock,TipoImpuesto
PRODUCTO,TECH005,7503001005,AURICULARES BLUETOOTH,AURICULARES INALAMBRICOS BLUETOOTH,35.00,40,G
PRODUCTO,ROPA001,7504001001,CAMISA POLO HOMBRE,CAMISA TIPO POLO ALGODON TALLA M,18.00,60,G
PRODUCTO,ROPA002,7504001002,PANTALON JEAN DAMA,PANTALON JEAN AZUL DAMA TALLA 28,25.00,45,G
PRODUCTO,ROPA003,7504001003,ZAPATOS DEPORTIVOS,ZAPATOS DEPORTIVOS RUNNING TALLA 42,55.00,30,G
PRODUCTO,HOGAR001,7505001001,LICUADORA 3 VELOCIDADES,LICUADORA 3 VELOCIDADES 1.5L,45.00,20,G
PRODUCTO,HOGAR002,7505001002,PLANCHA VAPOR,PLANCHA A VAPOR ANTIADHERENTE,28.00,35,G
PRODUCTO,BEB001,7506001001,COCA COLA 2L,REFRESCO COCA COLA 2 LITROS,2.50,100,G
PRODUCTO,BEB002,7506001002,PEPSI 2L,REFRESCO PEPSI 2 LITROS,2.30,80,G
PRODUCTO,BEB003,7506001003,JUGO NARANJA 1L,JUGO DE NARANJA NATURAL 1 LITRO,3.20,70,G
PRODUCTO,SNACK001,7507001001,GALLETAS OREO,GALLETAS OREO CHOCOLATE 432G,1.80,150,G
PRODUCTO,SNACK002,7507001002,PAPAS FRITAS,PAPAS FRITAS SABOR NATURAL 200G,1.50,120,G

# ==========================================
# SECCIÓN 2: CLIENTES
# ==========================================
# Columnas:
# - Identificacion: RIF o Cédula con formato (ej: V-12345678, J-12345678)
# - Nombre: Nombre completo o razón social (obligatorio)
# - Correo: Email del cliente (opcional)
# - Direccion: Dirección física (opcional)
# - AgenteRetencion: ¿Es agente de retención? (0=No, 1=Sí)
#   * Los agentes de retención retienen el 75% del IVA
#   * Solo aplica para empresas autorizadas por SENIAT
#
# EJEMPLOS:
# V-12345678,JUAN PEREZ,juan@email.com,AV PRINCIPAL CARACAS,0
# J-98765432,EMPRESA XYZ CA,contacto@empresa.com,ZONA INDUSTRIAL,1
# V-11223344,MARIA RODRIGUEZ,,CALLE 5 MARACAIBO,0
# ==========================================

TIPO,Identificacion,Nombre,Correo,Direccion,AgenteRetencion
CLIENTE,V-12345678,JUAN PEREZ,juan@email.com,AV PRINCIPAL CARACAS,0
CLIENTE,V-23456789,MARIA RODRIGUEZ,maria@email.com,CALLE 5 MARACAIBO,0
CLIENTE,V-34567890,PEDRO GOMEZ,pedro@email.com,URB LOS PINOS VALENCIA,0
CLIENTE,V-45678901,CARMEN SILVA,carmen@email.com,AV BOLIVAR BARQUISIMETO,0
CLIENTE,V-56789012,LUIS MARTINEZ,luis@email.com,SECTOR CENTRO MERIDA,0
CLIENTE,J-30123456,COMERCIAL ABC CA,ventas@abc.com,CENTRO COMERCIAL CARACAS,1
CLIENTE,J-30234567,DISTRIBUIDORA XYZ CA,contacto@xyz.com,ZONA INDUSTRIAL VALENCIA,1
CLIENTE,J-30345678,INVERSIONES 123 CA,info@inv123.com,TORRE EMPRESARIAL MARACAIBO,1
CLIENTE,J-30456789,SUPERMERCADO EL AHORRO CA,compras@ahorro.com,AV PRINCIPAL LOS TEQUES,1
CLIENTE,J-30567890,FARMACIA SALUD CA,ventas@salud.com,CC SAMBIL CARACAS,0

# ==========================================
# FIN DEL ARCHIVO
# ==========================================
# 
# RESUMEN DE PRODUCTOS DE EJEMPLO:
# - 10 Productos EXENTOS (E): Alimentos básicos y medicamentos
# - 15 Productos GRAVADOS (G): Tecnología, ropa, hogar, bebidas, snacks
# - Total: 25 productos para pruebas completas
#
# RESUMEN DE CLIENTES DE EJEMPLO:
# - 5 Clientes naturales (V-): Personas sin retención
# - 5 Clientes jurídicos (J-): 4 con retención, 1 sin retención
# - Total: 10 clientes para pruebas completas
#
# CASOS DE PRUEBA SUGERIDOS:
# 1. Factura solo con productos EXENTOS (E):
#    - Agregar: ARROZ, HARINA, LECHE
#    - Resultado: No debe calcular IVA
#
# 2. Factura solo con productos GRAVADOS (G):
#    - Agregar: LAPTOP, MOUSE, TECLADO
#    - Resultado: Debe calcular IVA 16%
#
# 3. Factura MIXTA (E + G):
#    - Agregar: ARROZ (E), LAPTOP (G), LECHE (E), MOUSE (G)
#    - Resultado: IVA solo sobre LAPTOP y MOUSE
#
# 4. Factura con AGENTE DE RETENCIÓN:
#    - Cliente: COMERCIAL ABC CA (J-30123456)
#    - Productos: LAPTOP (G)
#    - Resultado: Debe retener 75% del IVA
#
# CONSEJOS:
# - Puede agregar tantas filas como necesite
# - Mantenga el formato CSV (separado por comas)
# - Si un valor contiene comas, enciérrelo entre comillas: "NOMBRE, APELLIDO"
# - Pruebe primero con pocos registros antes de importar todo
# - La app mostrará un resumen de lo importado
# - Verifique que el TipoImpuesto sea E o G (mayúscula)
# - Los productos básicos (arroz, harina, leche, etc.) deben ser E
# - Los productos no esenciales deben ser G
# ==========================================
